Year,District,Area_Hectares,Yield_Kg_Ha,Crop,Avg_Temperature_C,max_temp_C,min_temp_C,Avg_Humidity_Pct,Avg_Rainfall_mm,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,Avg_Wind_Speed_ms,avg_pH_value,fertilizer_in_MT,Production_MT,Planting_Month,Province
2010,Achham,9450.0,2400.0,Rice,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0,22680.0,July,Sudurpashchim
2010,Achham,6351.0,1550.0,Maize,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0,9844.05,April,Sudurpashchim
2010,Achham,3412.0,950.0,Millet,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0,3241.4,August,Sudurpashchim
2010,Achham,0.0,0.0,Buckwheat,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0,0.0,September,Sudurpashchim
2010,Achham,16139.0,1450.0,Wheat,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0,23401.55,November,Sudurpashchim
2010,Achham,514.0,1298.0,Barley,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6522.01,2827.55,1.555643836,6.1,76.0,667.172,November,Sudurpashchim
2010,Arghakhanchi,8768.0,2600.0,Rice,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0,22796.8,July,Lumbini
2010,Arghakhanchi,16915.0,1507.0,Maize,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0,25490.905,April,Lumbini
2010,Arghakhanchi,820.0,1073.0,Millet,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0,879.86,August,Lumbini
2010,Arghakhanchi,336.0,982.0,Buckwheat,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0,329.952,September,Lumbini
2010,Arghakhanchi,7340.0,1836.0,Wheat,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0,13476.24,November,Lumbini
2010,Arghakhanchi,485.0,1223.0,Barley,20.5630137,26.14350685,16.21063014,55.35613699,1325.35,6438.57,2996.83,1.769232877,5.9,612.0,593.155,November,Lumbini
2010,Baglung,5792.0,2956.0,Rice,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0,17121.152,July,Gandaki
2010,Baglung,20327.0,2592.0,Maize,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0,52687.584,April,Gandaki
2010,Baglung,17700.0,1301.0,Millet,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0,23027.7,August,Gandaki
2010,Baglung,100.0,1100.0,Buckwheat,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0,110.0,September,Gandaki
2010,Baglung,7035.0,1886.0,Wheat,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0,13268.01,November,Gandaki
2010,Baglung,1005.0,1259.0,Barley,20.00545205,25.42309589,15.70890411,57.22178082,1226.86,6385.99,2761.53,1.593342466,5.7,439.0,1265.295,November,Gandaki
2010,Baitadi,5300.0,1890.0,Rice,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0,10017.0,July,Sudurpashchim
2010,Baitadi,9500.0,1800.0,Maize,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0,17100.0,April,Sudurpashchim
2010,Baitadi,850.0,1118.0,Millet,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0,950.3,August,Sudurpashchim
2010,Baitadi,0.0,0.0,Buckwheat,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0,0.0,September,Sudurpashchim
2010,Baitadi,12000.0,2058.0,Wheat,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0,24696.0,November,Sudurpashchim
2010,Baitadi,600.0,1000.0,Barley,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6708.83,2953.94,1.683589041,6.0,109.0,600.0,November,Sudurpashchim
2010,Bajhang,7005.0,2315.0,Rice,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,16216.575,July,Sudurpashchim
2010,Bajhang,3650.0,1500.0,Maize,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,5475.0,April,Sudurpashchim
2010,Bajhang,2285.0,1007.0,Millet,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,2300.995,August,Sudurpashchim
2010,Bajhang,0.0,0.0,Buckwheat,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,0.0,September,Sudurpashchim
2010,Bajhang,6100.0,1361.0,Wheat,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,8302.1,November,Sudurpashchim
2010,Bajhang,1500.0,1000.0,Barley,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,1500.0,November,Sudurpashchim
2010,Bajura,3010.0,1800.0,Rice,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,5418.0,July,Sudurpashchim
2010,Bajura,790.0,2214.0,Maize,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,1749.06,April,Sudurpashchim
2010,Bajura,2610.0,1000.0,Millet,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,2610.0,August,Sudurpashchim
2010,Bajura,7.0,1500.0,Buckwheat,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,10.5,September,Sudurpashchim
